,operand1,operand2,operator,target
491,501,462,1,963.0
492,393,189,4,2.0794
493,64,281,1,345.0
494,358,99,4,3.6162
495,715,652,2,63.0
496,466,7,2,459.0
497,795,773,3,614535.0
498,122,927,4,0.1316
499,139,507,4,0.2742
500,162,498,1,660.0
501,244,490,1,734.0
502,532,535,1,1067.0
503,452,617,1,1069.0
504,42,714,2,-672.0
505,418,3,1,421.0
506,438,513,1,951.0
507,164,938,2,-774.0
508,243,935,4,0.2599
509,787,525,3,413175.0
510,215,354,3,76110.0
511,14,456,2,-442.0
512,393,181,3,71133.0
513,628,884,4,0.7104
514,313,894,2,-581.0
515,348,313,3,108924.0
516,55,197,2,-142.0
517,847,78,4,10.859
518,538,971,4,0.5541
519,627,892,1,1519.0
520,359,783,1,1142.0
521,434,271,2,163.0
522,272,571,4,0.4764
523,172,403,2,-231.0
524,722,130,2,592.0
525,443,63,4,7.0317
526,673,535,3,360055.0
527,721,866,3,624386.0
528,346,588,1,934.0
529,144,482,2,-338.0
530,709,31,4,22.871
531,113,433,4,0.261
532,495,278,3,137610.0
533,799,550,2,249.0
534,232,263,4,0.8821
535,429,703,1,1132.0
536,852,599,2,253.0
537,656,429,2,227.0
538,914,340,1,1254.0
539,497,994,2,-497.0
540,960,592,3,568320.0
541,639,580,4,1.1017
542,513,454,1,967.0
543,101,616,3,62216.0
544,415,76,4,5.4605
545,563,184,3,103592.0
546,438,651,1,1089.0
547,36,550,2,-514.0
548,532,139,2,393.0
549,731,371,2,360.0
550,916,940,1,1856.0
551,750,111,1,861.0
552,149,313,2,-164.0
553,431,473,3,203863.0
554,611,758,2,-147.0
555,606,102,4,5.9412
556,274,495,1,769.0
557,631,875,2,-244.0
558,429,358,1,787.0
559,414,345,1,759.0
560,740,766,2,-26.0
561,988,852,3,841776.0
562,148,583,1,731.0
563,163,112,4,1.4554
564,1,880,1,881.0
565,597,663,1,1260.0
566,123,549,2,-426.0
567,126,985,2,-859.0
568,88,982,4,0.0896
569,666,417,4,1.5971
570,873,577,3,503721.0
571,812,672,2,140.0
572,414,403,2,11.0
573,647,957,4,0.6761
574,551,629,2,-78.0
575,846,415,1,1261.0
576,492,12,2,480.0
577,468,863,4,0.5423
578,34,877,1,911.0
579,882,396,2,486.0
580,327,782,2,-455.0
581,675,467,1,1142.0
582,257,767,3,197119.0
583,323,849,2,-526.0
584,298,945,2,-647.0
585,346,903,4,0.3832
586,93,315,3,29295.0
587,782,154,2,628.0
588,644,257,4,2.5058
589,513,276,3,141588.0
590,709,145,4,4.8897
591,428,867,1,1295.0
592,620,40,4,15.5
593,396,967,3,382932.0
594,954,521,1,1475.0
595,158,477,3,75366.0
596,518,342,1,860.0
597,971,392,3,380632.0
598,225,24,2,201.0
599,166,985,2,-819.0
600,900,991,3,891900.0
601,542,566,2,-24.0
602,879,115,4,7.6435
603,335,49,3,16415.0
604,162,705,2,-543.0
605,238,971,4,0.2451
606,750,489,3,366750.0
607,739,921,4,0.8024
608,17,726,1,743.0
609,604,704,3,425216.0
610,973,224,4,4.3438
611,588,462,2,126.0
612,958,352,1,1310.0
613,480,37,1,517.0
614,152,823,1,975.0
615,987,558,3,550746.0
616,135,822,4,0.1642
617,590,976,4,0.6045
618,658,801,2,-143.0
619,338,241,2,97.0
620,447,615,1,1062.0
621,205,654,3,134070.0
622,754,352,4,2.142
623,193,481,2,-288.0
624,179,185,3,33115.0
625,907,815,1,1722.0
626,313,286,3,89518.0
627,317,414,3,131238.0
628,232,787,3,182584.0
629,963,486,2,477.0
630,771,790,1,1561.0
631,633,893,4,0.7088
632,867,33,2,834.0
633,686,575,1,1261.0
634,968,729,1,1697.0
635,530,392,1,922.0
636,127,105,1,232.0
637,239,51,3,12189.0
638,72,66,1,138.0
639,936,883,3,826488.0
640,649,140,3,90860.0
641,643,115,1,758.0
642,554,939,4,0.59
643,312,803,4,0.3885
644,691,234,1,925.0
645,708,323,1,1031.0
646,463,155,4,2.9871
647,803,565,4,1.4212
648,257,500,2,-243.0
649,292,10,3,2920.0
650,263,339,3,89157.0
651,980,58,2,922.0
652,623,64,3,39872.0
653,209,870,3,181830.0
654,907,576,3,522432.0
655,469,485,1,954.0
656,14,944,3,13216.0
657,431,615,3,265065.0
658,62,503,1,565.0
659,172,990,1,1162.0
660,562,744,1,1306.0
661,516,608,1,1124.0
662,54,249,1,303.0
663,513,910,2,-397.0
664,944,966,2,-22.0
665,667,182,2,485.0
666,255,575,1,830.0
667,174,734,3,127716.0
668,731,41,4,17.8293
669,501,585,1,1086.0
670,124,843,4,0.1471
671,228,415,4,0.5494
672,632,749,1,1381.0
673,999,203,3,202797.0
674,276,228,2,48.0
675,616,315,3,194040.0
676,318,163,3,51834.0
677,735,241,2,494.0
678,912,194,1,1106.0
679,670,451,3,302170.0
680,390,23,4,16.9565
681,760,925,3,703000.0
682,278,620,2,-342.0
683,111,615,3,68265.0
684,51,897,3,45747.0
685,142,943,1,1085.0
686,349,227,1,576.0
687,710,890,4,0.7978
688,139,567,2,-428.0
689,377,573,4,0.6579
690,492,826,3,406392.0
691,450,885,4,0.5085
692,158,390,1,548.0
693,393,11,3,4323.0
694,678,808,3,547824.0
695,698,487,3,339926.0
696,725,717,2,8.0
697,758,349,1,1107.0
698,128,525,3,67200.0
699,365,530,3,193450.0
700,943,63,4,14.9683
701,10,875,3,8750.0
702,865,349,3,301885.0
703,660,461,2,199.0
704,15,863,4,0.0174
705,982,338,1,1320.0
706,357,508,2,-151.0
707,825,63,4,13.0952
708,756,666,2,90.0
709,395,770,1,1165.0
710,931,81,3,75411.0
711,873,906,2,-33.0
712,658,800,1,1458.0
713,396,869,3,344124.0
714,132,686,2,-554.0
715,282,139,3,39198.0
716,954,745,3,710730.0
717,639,987,1,1626.0
718,914,178,3,162692.0
719,450,277,1,727.0
720,348,761,1,1109.0
721,860,249,2,611.0
722,647,546,4,1.185
723,657,264,1,921.0
724,527,921,4,0.5722
725,233,517,2,-284.0
726,900,24,3,21600.0
727,991,611,2,380.0
728,888,288,2,600.0
729,567,871,1,1438.0
730,865,125,4,6.92
731,336,73,3,24528.0
732,436,435,1,871.0
733,169,244,3,41236.0
734,554,946,3,524084.0
735,395,854,2,-459.0
736,366,575,1,941.0
737,463,775,4,0.5974
738,714,388,1,1102.0
739,755,379,3,286145.0
740,626,50,4,12.52
741,811,619,3,502009.0
742,119,73,2,46.0
743,587,440,4,1.3341
744,425,39,1,464.0
745,654,316,4,2.0696
746,710,41,2,669.0
747,746,247,3,184262.0
748,1000,921,4,1.0858
749,867,536,4,1.6175
750,596,491,3,292636.0
751,563,578,2,-15.0
752,255,996,2,-741.0
753,786,213,4,3.6901
754,953,694,3,661382.0
755,748,675,4,1.1081
756,712,756,1,1468.0
757,43,316,3,13588.0
758,552,743,2,-191.0
759,699,112,3,78288.0
760,428,649,1,1077.0
761,596,695,1,1291.0
762,986,370,1,1356.0
763,326,846,2,-520.0
764,920,276,1,1196.0
765,269,898,4,0.2996
766,510,305,2,205.0
767,421,401,3,168821.0
768,323,472,4,0.6843
769,740,462,2,278.0
770,282,349,4,0.808
771,43,216,4,0.1991
772,600,546,4,1.0989
773,388,549,2,-161.0
774,491,756,3,371196.0
775,31,30,3,930.0
776,817,281,4,2.9075
777,589,709,2,-120.0
778,526,640,2,-114.0
779,368,626,4,0.5879
780,395,695,3,274525.0
781,364,42,1,406.0
782,274,974,2,-700.0
783,939,370,1,1309.0
784,317,453,4,0.6998
785,897,138,1,1035.0
786,609,579,1,1188.0
787,801,907,2,-106.0
788,614,254,4,2.4173
789,942,689,3,649038.0
790,898,576,3,517248.0
791,168,75,1,243.0
792,700,741,2,-41.0
793,763,882,1,1645.0
794,290,130,3,37700.0
795,304,752,4,0.4043
796,526,542,3,285092.0
797,917,23,2,894.0
798,177,816,3,144432.0
799,26,680,3,17680.0
800,416,141,4,2.9504
801,559,959,3,536081.0
802,657,200,2,457.0
803,236,971,2,-735.0
804,428,898,3,384344.0
805,985,404,2,581.0
806,133,753,3,100149.0
807,2,491,2,-489.0
808,17,352,2,-335.0
809,369,155,3,57195.0
810,475,49,2,426.0
811,608,591,4,1.0288
812,889,185,2,704.0
813,533,552,3,294216.0
814,716,655,2,61.0
815,72,653,2,-581.0
816,886,308,1,1194.0
817,360,199,2,161.0
818,111,965,4,0.115
819,909,406,1,1315.0
820,681,522,4,1.3046
821,573,789,3,452097.0
822,707,284,4,2.4894
823,310,839,1,1149.0
824,574,178,1,752.0
825,617,952,4,0.6481
826,109,407,3,44363.0
827,833,533,3,443989.0
828,741,956,4,0.7751
829,647,652,1,1299.0
830,944,291,2,653.0
831,453,128,1,581.0
832,876,689,4,1.2714
833,97,616,1,713.0
834,524,844,2,-320.0
835,196,459,3,89964.0
836,333,871,4,0.3823
837,297,425,4,0.6988
838,622,965,1,1587.0
839,114,418,3,47652.0
840,251,445,3,111695.0
841,444,504,2,-60.0
842,337,284,2,53.0
843,32,294,4,0.1088
844,500,312,3,156000.0
845,149,952,2,-803.0
846,923,218,2,705.0
847,914,297,1,1211.0
848,669,891,1,1560.0
849,539,804,1,1343.0
850,609,393,2,216.0
851,449,235,1,684.0
852,833,19,2,814.0
853,473,484,3,228932.0
854,935,372,3,347820.0
855,836,309,4,2.7055
856,697,109,4,6.3945
857,562,826,2,-264.0
858,299,184,4,1.625
859,658,584,3,384272.0
860,564,184,1,748.0
861,348,815,3,283620.0
862,75,29,3,2175.0
863,61,596,4,0.1023
864,553,305,1,858.0
865,603,940,3,566820.0
866,350,63,3,22050.0
867,505,671,4,0.7526
868,560,252,4,2.2222
869,722,701,4,1.03
870,237,131,1,368.0
871,849,185,4,4.5892
872,330,178,4,1.8539
873,309,536,4,0.5765
874,793,658,2,135.0
875,81,603,2,-522.0
876,562,222,3,124764.0
877,173,697,1,870.0
878,102,331,3,33762.0
879,804,543,2,261.0
880,720,901,1,1621.0
881,379,875,3,331625.0
882,600,979,3,587400.0
883,63,869,3,54747.0
884,528,780,1,1308.0
885,373,156,2,217.0
886,787,150,2,637.0
887,454,441,1,895.0
888,482,860,3,414520.0
889,817,446,2,371.0
890,120,915,1,1035.0
891,907,298,3,270286.0
892,617,359,4,1.7187
893,211,860,3,181460.0
894,836,478,3,399608.0
895,2,352,1,354.0
896,436,651,3,283836.0
897,634,105,2,529.0
898,69,398,4,0.1734
899,109,246,4,0.4431
900,840,37,1,877.0
901,247,571,2,-324.0
902,465,312,4,1.4904
903,419,738,4,0.5678
904,259,518,1,777.0
905,601,379,2,222.0
906,325,133,1,458.0
907,524,333,1,857.0
908,121,137,2,-16.0
909,483,686,2,-203.0
910,290,5,2,285.0
911,359,540,1,899.0
912,802,564,2,238.0
913,576,750,2,-174.0
914,815,706,1,1521.0
915,113,694,4,0.1628
916,789,142,3,112038.0
917,740,861,1,1601.0
918,17,159,2,-142.0
919,48,389,1,437.0
920,774,55,1,829.0
921,986,553,2,433.0
922,248,951,3,235848.0
923,241,427,3,102907.0
924,305,358,3,109190.0
925,448,168,2,280.0
926,844,581,3,490364.0
927,891,658,2,233.0
928,251,810,2,-559.0
929,870,378,2,492.0
930,289,935,2,-646.0
931,985,242,2,743.0
932,812,168,4,4.8333
933,869,978,1,1847.0
934,685,980,4,0.699
935,582,47,3,27354.0
936,831,568,4,1.463
937,240,973,4,0.2467
938,665,283,4,2.3498
939,341,392,3,133672.0
940,12,559,4,0.0215
941,800,44,1,844.0
942,945,743,3,702135.0
943,192,779,2,-587.0
944,810,426,4,1.9014
945,652,512,2,140.0
946,930,921,1,1851.0
947,901,24,4,37.5417
948,221,925,3,204425.0
949,723,869,1,1592.0
950,368,405,1,773.0
951,420,633,1,1053.0
952,271,118,3,31978.0
953,497,444,4,1.1194
954,542,567,1,1109.0
955,99,379,3,37521.0
956,612,281,3,171972.0
957,537,866,3,465042.0
958,114,863,3,98382.0
959,102,517,2,-415.0
960,990,102,2,888.0
961,432,450,2,-18.0
962,40,58,3,2320.0
963,554,393,2,161.0
964,926,366,1,1292.0
965,269,554,1,823.0
966,41,16,3,656.0
967,180,568,2,-388.0
968,19,631,1,650.0
969,575,34,1,609.0
970,615,529,4,1.1626
971,733,317,2,416.0
972,977,972,2,5.0
973,52,389,2,-337.0
974,422,257,2,165.0
975,365,396,3,144540.0
976,888,778,1,1666.0
977,599,723,4,0.8285
978,713,222,2,491.0
979,447,970,3,433590.0
980,961,442,4,2.1742
981,953,915,2,38.0
982,233,546,1,779.0
983,561,704,3,394944.0
984,382,434,4,0.8802
985,738,956,2,-218.0
986,40,459,3,18360.0
987,101,337,2,-236.0
988,592,466,4,1.2704
989,11,969,4,0.0114
990,1,411,4,0.0024
991,222,425,1,647.0
992,47,552,1,599.0
993,265,582,1,847.0
994,343,462,3,158466.0
995,535,766,3,409810.0
996,497,289,1,786.0
997,849,854,4,0.9941
998,869,156,1,1025.0
999,202,485,4,0.4165
1000,586,384,3,225024.0
1001,593,592,3,351056.0
1002,559,919,1,1478.0
1003,129,285,1,414.0
1004,103,32,2,71.0
1005,431,603,4,0.7148
1006,416,705,2,-289.0
1007,330,924,3,304920.0
1008,22,824,3,18128.0
1009,862,20,2,842.0
1010,54,504,3,27216.0
1011,492,797,3,392124.0
1012,768,682,1,1450.0
1013,555,183,4,3.0328
1014,409,673,2,-264.0
1015,169,674,4,0.2507
1016,21,988,4,0.0213
1017,626,450,2,176.0
1018,950,672,3,638400.0
1019,535,860,4,0.6221
1020,275,376,4,0.7314
1021,6,117,1,123.0
1022,160,752,1,912.0
1023,17,764,2,-747.0
1024,243,806,4,0.3015
1025,832,691,1,1523.0
1026,802,181,2,621.0
1027,679,894,3,607026.0
1028,883,741,4,1.1916
1029,864,383,2,481.0
1030,120,713,1,833.0
1031,169,49,1,218.0
1032,709,631,2,78.0
1033,801,805,2,-4.0
1034,65,522,2,-457.0
1035,212,716,1,928.0
1036,295,252,4,1.1706
1037,628,622,3,390616.0
1038,729,329,2,400.0
1039,112,884,3,99008.0
1040,454,544,1,998.0
1041,642,101,2,541.0
1042,329,969,2,-640.0
1043,164,78,1,242.0
1044,49,420,4,0.1167
1045,597,653,2,-56.0
1046,909,45,2,864.0
1047,479,792,4,0.6048
1048,647,67,4,9.6567
1049,340,417,3,141780.0
1050,987,562,1,1549.0
1051,675,315,2,360.0
1052,192,360,2,-168.0
1053,60,609,3,36540.0
1054,843,198,1,1041.0
1055,279,668,1,947.0
1056,392,703,3,275576.0
1057,634,838,1,1472.0
1058,156,251,3,39156.0
1059,99,334,1,433.0
1060,765,834,2,-69.0
1061,53,939,1,992.0
1062,411,585,1,996.0
1063,1,515,1,516.0
1064,707,157,2,550.0
1065,651,897,2,-246.0
1066,720,609,1,1329.0
1067,479,34,1,513.0
1068,246,851,4,0.2891
1069,577,275,1,852.0
1070,841,960,4,0.876
1071,772,717,3,553524.0
1072,854,582,2,272.0
1073,212,672,3,142464.0
1074,632,426,2,206.0
1075,310,953,4,0.3253
1076,337,306,3,103122.0
1077,110,403,4,0.273
1078,849,604,4,1.4056
1079,917,515,1,1432.0
1080,930,200,4,4.65
1081,117,454,2,-337.0
1082,691,991,1,1682.0
1083,310,464,1,774.0
1084,466,192,3,89472.0
1085,268,109,1,377.0
1086,614,457,2,157.0
1087,928,271,1,1199.0
1088,532,664,4,0.8012
1089,291,751,3,218541.0
1090,487,638,3,310706.0
1091,672,607,3,407904.0
